,Area ID,Cluster,Crime Code,Premise Code,Reporting District,Sex,Time Occurred,Victim Age,latitude,longitude
66,1.0,0.0,888.0,108.0,111.0,1.0,1430.0,23.0,34.0544,-118.238114427
67,1.0,0.0,310.0,502.0,191.0,1.0,430.0,48.0,34.0393,-118.272936897
68,1.0,0.0,745.0,203.0,195.0,1.0,1515.0,37.4787594475,34.0312,-118.261627035
69,1.0,0.0,946.0,203.0,185.0,1.0,820.0,37.4787594475,34.0371,-118.255277638
70,1.0,0.0,624.0,503.0,142.0,1.0,1545.0,50.0,34.0535,-118.256170522
71,1.0,0.0,210.0,102.0,174.0,1.0,1535.0,22.0,34.0419,-118.252499778
72,1.0,0.0,310.0,404.0,161.0,1.0,1130.0,37.4787594475,34.0499,-118.261527825
73,1.0,0.0,624.0,101.0,148.0,1.0,1200.0,70.0,34.0454,-118.242479637
74,1.0,0.0,624.0,503.0,164.0,1.0,820.0,30.0,34.0453,-118.250118754
75,1.0,0.0,755.0,504.0,157.0,1.0,1315.0,21.0,34.0442,-118.244166195
76,1.0,0.0,624.0,101.0,124.0,1.0,1205.0,27.0,34.0522,-118.243670149
77,1.0,0.0,940.0,203.0,164.0,1.0,1305.0,19.0,34.3797,-118.526615116
78,1.0,0.0,210.0,101.0,191.0,1.0,1030.0,24.0,34.0363,-118.273333734
79,1.0,0.0,888.0,403.0,153.0,1.0,900.0,37.4787594475,34.0481,-118.250912429
80,1.0,0.0,624.0,101.0,166.0,1.0,215.0,37.4787594475,34.0446,-118.245257498
81,1.0,0.0,745.0,101.0,182.0,1.0,240.0,37.4787594475,34.0402,-118.263412802
82,1.0,0.0,745.0,102.0,182.0,1.0,1440.0,21.0,34.0405,-118.260535732
83,1.0,0.0,230.0,102.0,166.0,1.0,1420.0,52.0,34.0423,-118.245455916
84,13.0,0.0,668.0,203.0,1313.0,1.0,1400.0,62.0,34.0277,-118.257559453
85,1.0,0.0,230.0,109.0,152.0,1.0,655.0,41.0,34.0481,-118.254384755
86,1.0,0.0,745.0,101.0,185.0,1.0,1025.0,13.0,34.0378,-118.256269732
87,1.0,0.0,210.0,101.0,166.0,1.0,1300.0,66.0,34.0407,-118.247043265
88,1.0,0.0,330.0,122.0,176.0,1.0,1215.0,37.4787594475,34.0433,-118.250614801
89,1.0,0.0,330.0,108.0,162.0,1.0,930.0,53.0,34.048,-118.257857081
90,1.0,0.0,624.0,503.0,152.0,1.0,905.0,36.0,34.0516,-118.256269732
91,1.0,0.0,740.0,122.0,165.0,1.0,1420.0,56.0,34.0419,-118.248729824
92,1.0,0.0,440.0,248.0,154.0,1.0,600.0,37.0,34.0461,-118.24783694
93,1.0,0.0,210.0,102.0,165.0,1.0,810.0,36.0,34.0419,-118.248729824
94,1.0,0.0,330.0,108.0,111.0,1.0,300.0,57.0,34.0591,-118.241487544
95,1.0,0.0,230.0,102.0,182.0,1.0,755.0,20.0,34.0423,-118.259642848
96,1.0,0.0,230.0,102.0,181.0,1.0,1110.0,53.0,34.0423,-118.26668671
97,1.0,0.0,230.0,102.0,158.0,1.0,930.0,42.0,34.0375,-118.242578846
98,1.0,0.0,946.0,726.0,155.0,1.0,230.0,12.0,34.0446,-118.24922587
99,1.0,0.0,626.0,203.0,158.0,1.0,430.0,41.0,34.0403,-118.242380427
100,1.0,0.0,624.0,102.0,166.0,1.0,820.0,53.0,34.0423,-118.245455916
101,1.0,0.0,745.0,101.0,144.0,1.0,930.0,22.0,34.0446,-118.245257498
102,1.0,0.0,210.0,102.0,152.0,1.0,745.0,43.0,34.0516,-118.256269732
103,1.0,0.0,441.0,717.0,192.0,1.0,1445.0,34.0,34.0389,-118.264404895
104,1.0,0.0,624.0,203.0,171.0,1.0,830.0,28.0,34.0437,-118.265297779
105,1.0,0.0,440.0,403.0,162.0,1.0,1030.0,53.0,34.0473,-118.256765778
106,1.0,0.0,946.0,102.0,166.0,1.0,1555.0,37.4787594475,34.0407,-118.247043265
107,1.0,0.0,442.0,404.0,162.0,1.0,710.0,32.0,34.048,-118.257857081
108,1.0,0.0,624.0,109.0,118.0,1.0,1045.0,18.0,34.0635,-118.231665821
109,1.0,0.0,331.0,108.0,162.0,1.0,1330.0,36.0,34.048,-118.257857081
110,1.0,0.0,624.0,102.0,166.0,1.0,500.0,62.0,34.0407,-118.247043265
111,1.0,0.0,210.0,102.0,111.0,1.0,801.0,25.0,34.0578,-118.237419962
112,1.0,0.0,210.0,102.0,145.0,1.0,935.0,59.0,34.0467,-118.248729824
113,1.0,0.0,649.0,102.0,181.0,1.0,1015.0,32.0,34.0442,-118.26807564
114,1.0,0.0,626.0,109.0,111.0,1.0,1410.0,51.0,34.0565,-118.241388334
115,1.0,0.0,330.0,101.0,195.0,1.0,1500.0,20.0,34.0317,-118.262718337
116,1.0,0.0,624.0,116.0,118.0,1.0,1050.0,61.0,34.0631,-118.234046845
117,1.0,0.0,649.0,404.0,174.0,1.0,515.0,24.0,34.0439,-118.251606894
118,1.0,0.0,649.0,404.0,174.0,1.0,400.0,56.0,34.0439,-118.251606894
119,1.0,0.0,888.0,203.0,164.0,1.0,620.0,26.0,34.046,-118.251110847
120,1.0,0.0,440.0,404.0,161.0,1.0,1430.0,37.0,34.0494,-118.260039686
121,1.0,0.0,341.0,404.0,161.0,1.0,640.0,28.0,34.0494,-118.260039686
122,10.0,0.0,886.0,101.0,1035.0,1.0,650.0,24.0,34.1903,-118.524234092
123,1.0,0.0,888.0,502.0,132.0,1.0,810.0,57.0,34.0571,-118.251110847
124,1.0,0.0,740.0,405.0,185.0,1.0,1230.0,26.0,34.0364,-118.260436523
125,1.0,0.0,230.0,102.0,148.0,1.0,900.0,54.0,34.043,-118.242281218
126,1.0,0.0,230.0,502.0,157.0,1.0,400.0,46.0,34.0423,-118.245455916
127,15.0,0.0,330.0,101.0,1526.0,1.0,1300.0,31.0,34.1831,-118.382463981
128,15.0,0.0,310.0,407.0,1504.0,1.0,915.0,37.4787594475,34.2012,-118.38256319
129,1.0,0.0,745.0,122.0,124.0,1.0,310.0,37.4787594475,34.0532,-118.242777265
130,1.0,0.0,946.0,101.0,111.0,1.0,805.0,12.0,34.0582,-118.239007311
131,1.0,0.0,230.0,101.0,166.0,1.0,1420.0,49.0,34.0407,-118.247043265
132,1.0,0.0,210.0,405.0,143.0,1.0,1140.0,45.0,34.0495,-118.249622707
133,17.0,0.0,310.0,501.0,1792.0,1.0,315.0,40.0,34.2264,-118.564413865
134,1.0,0.0,624.0,108.0,153.0,1.0,910.0,21.0,34.0488,-118.252003731
135,1.0,0.0,624.0,108.0,153.0,1.0,910.0,29.0,34.0488,-118.252003731
136,1.0,0.0,624.0,108.0,134.0,1.0,1045.0,40.0,34.051,-118.248233777
137,1.0,0.0,647.0,108.0,127.0,1.0,1050.0,34.0,34.0534,-118.241189916
138,1.0,0.0,437.0,101.0,166.0,1.0,1045.0,37.4787594475,34.0412,-118.243868567
139,1.0,0.0,110.0,102.0,165.0,1.0,1235.0,58.0,34.0419,-118.248729824
140,1.0,0.0,251.0,203.0,162.0,1.0,1100.0,60.0,34.0459,-118.258055499
141,1.0,0.0,437.0,101.0,147.0,1.0,540.0,37.4787594475,34.045,-118.243769358
142,1.0,0.0,624.0,101.0,157.0,1.0,1440.0,54.0,34.0423,-118.245455916
143,1.0,0.0,740.0,203.0,135.0,1.0,35.0,35.0,34.051,-118.244761451
144,1.0,0.0,624.0,405.0,161.0,1.0,500.0,28.0,34.0494,-118.260039686
145,1.0,0.0,745.0,726.0,127.0,1.0,1215.0,22.0,34.0515,-118.242678055
146,1.0,0.0,946.0,101.0,157.0,1.0,1225.0,30.0,34.0417,-118.244563032
147,1.0,0.0,951.0,210.0,142.0,1.0,1355.0,23.0,34.0544,-118.253690289
148,1.0,0.0,330.0,108.0,174.0,1.0,930.0,53.0,34.0433,-118.250614801
149,1.0,0.0,230.0,502.0,182.0,1.0,1000.0,29.0,34.0415,-118.265496198
150,1.0,0.0,210.0,102.0,138.0,1.0,1250.0,30.0,34.0472,-118.244463823
151,1.0,0.0,310.0,244.0,135.0,1.0,1210.0,54.0,34.0496,-118.246051172
152,1.0,0.0,946.0,101.0,185.0,1.0,700.0,40.0,34.0383,-118.254186336
153,1.0,0.0,440.0,203.0,152.0,1.0,320.0,25.0,34.0481,-118.254384755
154,1.0,0.0,330.0,101.0,182.0,1.0,650.0,57.0,34.0377,-118.26222229
155,1.0,0.0,623.0,203.0,157.0,1.0,1445.0,28.0,34.0423,-118.245455916
156,1.0,0.0,740.0,122.0,185.0,1.0,1130.0,49.0,34.0405,-118.256864987
157,1.0,0.0,437.0,102.0,156.0,1.0,705.0,37.4787594475,34.0442,-118.244166195
158,1.0,0.0,624.0,102.0,163.0,1.0,1210.0,44.0,34.0459,-118.254682383
159,1.0,0.0,626.0,102.0,166.0,1.0,530.0,25.0,34.0407,-118.247043265
160,1.0,0.0,624.0,502.0,158.0,1.0,1000.0,52.0,34.0375,-118.242578846
161,1.0,0.0,761.0,102.0,111.0,1.0,525.0,49.0,34.0595,-118.237122334
162,1.0,0.0,761.0,102.0,111.0,1.0,525.0,43.0,34.0595,-118.237122334
163,1.0,0.0,745.0,124.0,154.0,1.0,1050.0,12.0,34.0446,-118.24922587
164,1.0,0.0,230.0,102.0,176.0,1.0,210.0,28.0,34.0407,-118.254285545
165,1.0,0.0,230.0,102.0,185.0,1.0,1100.0,27.0,34.0396,-118.255972104
166,1.0,0.0,745.0,108.0,159.0,1.0,1130.0,27.0,34.0382,-118.238709683
167,1.0,0.0,442.0,404.0,161.0,1.0,745.0,28.0,34.0494,-118.260039686
168,1.0,0.0,236.0,102.0,155.0,1.0,830.0,54.0,34.0474,-118.249821126
169,11.0,0.0,310.0,501.0,1126.0,1.0,530.0,29.0,34.1251,-118.202994329
170,11.0,0.0,943.0,101.0,1115.0,1.0,300.0,37.4787594475,34.1391,-118.214601819
171,1.0,0.0,740.0,101.0,166.0,1.0,755.0,66.0,34.0423,-118.245455916
172,1.0,0.0,740.0,102.0,195.0,1.0,1400.0,37.4787594475,34.0363,-118.262023872
173,1.0,0.0,236.0,735.0,185.0,1.0,1555.0,31.0,34.0416,-118.258551546
174,1.0,0.0,442.0,402.0,111.0,1.0,1210.0,37.4787594475,34.0606,-118.244166195
175,1.0,0.0,230.0,102.0,181.0,1.0,1520.0,49.0,34.0423,-118.267877221
176,1.0,0.0,624.0,102.0,182.0,1.0,1520.0,44.0,34.0423,-118.26668671
177,1.0,0.0,624.0,502.0,165.0,1.0,1445.0,40.0,34.0424,-118.249523498
178,1.0,0.0,230.0,502.0,118.0,1.0,1230.0,44.0,34.0643,-118.230276891
179,1.0,0.0,745.0,203.0,195.0,1.0,1200.0,20.0,34.0333,-118.262123081
180,1.0,0.0,230.0,102.0,166.0,1.0,1000.0,46.0,34.0423,-118.245455916
181,13.0,0.0,310.0,120.0,1333.0,1.0,1400.0,27.0,34.0218,-118.2665875
182,1.0,0.0,440.0,102.0,155.0,1.0,645.0,42.0,34.0454,-118.246844847
183,13.0,0.0,330.0,101.0,1309.0,1.0,300.0,29.0,34.0306,-118.2303761
184,13.0,0.0,310.0,102.0,1372.0,1.0,900.0,41.0,33.9943,-118.27392899
185,13.0,0.0,330.0,101.0,1381.0,1.0,1400.0,45.0,33.9869,-118.2782942
186,1.0,0.0,341.0,503.0,152.0,1.0,126.0,37.4787594475,34.0502,-118.254186336
187,14.0,0.0,350.0,101.0,1494.0,1.0,1315.0,37.4787594475,33.9309,-118.386630772
188,14.0,0.0,320.0,710.0,1446.0,1.0,1435.0,37.4787594475,34.0037,-118.432267057
189,14.0,0.0,440.0,402.0,1415.0,1.0,1145.0,37.4787594475,33.9985,-118.460541712
190,14.0,0.0,330.0,108.0,1412.0,1.0,200.0,60.0,33.9926,-118.472843667
191,1.0,0.0,624.0,101.0,156.0,1.0,1030.0,49.0,34.0435,-118.247340893
192,1.0,0.0,626.0,102.0,138.0,1.0,1455.0,47.0,34.0439,-118.240197822
193,1.0,0.0,626.0,502.0,159.0,1.0,1225.0,20.0,34.0346,-118.232657915
194,1.0,0.0,230.0,102.0,195.0,1.0,1205.0,28.0,34.0319,-118.259543639
195,1.0,0.0,626.0,102.0,192.0,1.0,1430.0,37.0,34.0384,-118.264702523
196,1.0,0.0,624.0,203.0,185.0,1.0,1000.0,39.0,34.0405,-118.256864987
197,1.0,0.0,624.0,102.0,185.0,1.0,1040.0,35.0,34.0405,-118.256864987
198,1.0,0.0,341.0,108.0,162.0,1.0,1500.0,23.0,34.0487,-118.258948383
199,1.0,0.0,330.0,101.0,122.0,1.0,530.0,27.0,34.0575,-118.251805312
200,1.0,0.0,330.0,123.0,185.0,1.0,1130.0,22.0,34.0416,-118.255178429
201,1.0,0.0,624.0,101.0,185.0,1.0,625.0,29.0,34.0401,-118.253491871
202,1.0,0.0,626.0,502.0,185.0,1.0,1115.0,36.0,34.0423,-118.256269732
203,1.0,0.0,310.0,203.0,152.0,1.0,1000.0,31.0,34.0481,-118.254384755
204,11.0,0.0,354.0,501.0,1124.0,1.0,500.0,26.0,34.1173,-118.237419962
205,1.0,0.0,740.0,103.0,185.0,1.0,1315.0,27.0,34.0391,-118.258253918
206,1.0,0.0,237.0,102.0,176.0,1.0,240.0,37.4787594475,34.0419,-118.248729824
207,1.0,0.0,745.0,122.0,105.0,1.0,1130.0,45.0,34.0673,-118.235733403
208,1.0,0.0,740.0,702.0,147.0,1.0,1200.0,19.0,34.045,-118.243769358
209,1.0,0.0,624.0,108.0,182.0,1.0,1105.0,23.0,34.0423,-118.259642848
210,1.0,0.0,310.0,502.0,101.0,1.0,1530.0,45.0,34.0674,-118.247043265
211,1.0,0.0,930.0,701.0,192.0,1.0,615.0,32.0,34.0395,-118.265694616
212,1.0,0.0,210.0,102.0,146.0,1.0,1040.0,46.0,34.0449,-118.246051172
213,14.0,0.0,330.0,101.0,1473.0,1.0,1500.0,27.0,33.9627,-118.420560358
214,1.0,0.0,888.0,503.0,153.0,1.0,825.0,31.0,34.0474,-118.249821126
215,1.0,0.0,410.0,101.0,119.0,1.0,320.0,37.4787594475,34.0613,-118.235534985
216,1.0,0.0,442.0,402.0,111.0,1.0,1345.0,34.0,34.0606,-118.244166195
217,1.0,0.0,888.0,502.0,166.0,1.0,20.0,53.0,34.0423,-118.245455916
218,1.0,0.0,626.0,503.0,132.0,1.0,600.0,29.0,34.0538,-118.249027452
219,1.0,0.0,230.0,102.0,158.0,1.0,1530.0,56.0,34.0398,-118.241586753
220,1.0,0.0,624.0,735.0,185.0,1.0,330.0,56.0,34.0416,-118.258551546
221,1.0,0.0,745.0,726.0,155.0,1.0,1200.0,40.0,34.0446,-118.24922587
222,1.0,0.0,341.0,502.0,111.0,1.0,1130.0,42.0,34.0627,-118.246547219
223,1.0,0.0,230.0,102.0,157.0,1.0,930.0,41.0,34.0435,-118.242975683
224,10.0,0.0,946.0,101.0,1063.0,1.0,620.0,37.4787594475,34.1734,-118.533956605
225,1.0,0.0,440.0,213.0,158.0,1.0,400.0,30.0,34.0438,-118.239999404
226,1.0,0.0,440.0,402.0,111.0,1.0,720.0,31.0,34.0606,-118.244166195
227,1.0,0.0,220.0,102.0,147.0,1.0,430.0,52.0,34.0442,-118.244166195
228,1.0,0.0,442.0,402.0,162.0,1.0,1540.0,28.0,34.0451,-118.260535732
229,1.0,0.0,745.0,122.0,185.0,1.0,900.0,64.0,34.035,-118.26083336
230,1.0,0.0,230.0,102.0,161.0,1.0,1110.0,36.0,34.0499,-118.261527825
231,1.0,0.0,660.0,203.0,185.0,1.0,420.0,37.0,34.0371,-118.255277638
232,1.0,0.0,624.0,502.0,195.0,1.0,1205.0,36.0,34.0317,-118.264206477
233,1.0,0.0,236.0,103.0,158.0,1.0,1215.0,47.0,34.0398,-118.241586753
234,1.0,0.0,745.0,210.0,182.0,1.0,1030.0,24.0,34.0405,-118.260535732
235,1.0,0.0,624.0,102.0,166.0,1.0,1340.0,35.0,34.0407,-118.247043265
236,1.0,0.0,330.0,101.0,162.0,1.0,700.0,34.0,34.0473,-118.260238104
237,1.0,0.0,624.0,210.0,153.0,1.0,1537.0,25.0,34.0474,-118.249821126
238,1.0,0.0,330.0,123.0,111.0,1.0,900.0,35.0,34.0627,-118.246547219
239,1.0,0.0,740.0,702.0,105.0,1.0,1200.0,23.0,34.0668,-118.23622945
240,13.0,0.0,330.0,101.0,1377.0,1.0,700.0,47.0,33.993,-118.241388334
241,14.0,0.0,330.0,101.0,1435.0,1.0,1500.0,30.0,34.012,-118.427207382
242,1.0,0.0,442.0,404.0,162.0,1.0,755.0,37.4787594475,34.048,-118.257857081
243,1.0,0.0,900.0,101.0,118.0,1.0,650.0,21.0,34.0649,-118.229284798
244,1.0,0.0,745.0,203.0,176.0,1.0,220.0,47.0,34.0419,-118.248729824
245,1.0,0.0,624.0,737.0,171.0,1.0,750.0,28.0,34.045,-118.264107267
246,1.0,0.0,624.0,203.0,164.0,1.0,1040.0,28.0,34.0453,-118.250118754
247,1.0,0.0,626.0,502.0,132.0,1.0,1425.0,28.0,34.0545,-118.250118754
248,1.0,0.0,510.0,713.0,181.0,1.0,815.0,72.0,34.0423,-118.26668671
249,1.0,0.0,888.0,502.0,111.0,1.0,210.0,28.0,34.0617,-118.247142475
250,1.0,0.0,330.0,504.0,118.0,1.0,230.0,73.0,34.0686,-118.227002984
251,1.0,0.0,815.0,709.0,153.0,1.0,1100.0,38.0,34.0488,-118.252003731
252,1.0,0.0,350.0,102.0,192.0,1.0,150.0,42.0,34.0395,-118.265694616
253,1.0,0.0,230.0,102.0,148.0,1.0,430.0,50.0,34.0435,-118.242975683
254,1.0,0.0,624.0,102.0,152.0,1.0,600.0,48.0,34.0481,-118.254384755
255,1.0,0.0,440.0,503.0,157.0,1.0,1000.0,65.0,34.0417,-118.244563032
256,1.0,0.0,740.0,122.0,164.0,1.0,610.0,41.0,34.0453,-118.250118754
257,1.0,0.0,951.0,210.0,161.0,1.0,430.0,30.0,34.0494,-118.260039686
258,1.0,0.0,930.0,203.0,157.0,1.0,615.0,47.0,34.0442,-118.244166195
259,1.0,0.0,442.0,404.0,162.0,1.0,540.0,30.0,34.048,-118.257857081
260,1.0,0.0,740.0,108.0,192.0,1.0,1005.0,37.4787594475,34.0391,-118.265992244
261,1.0,0.0,440.0,203.0,152.0,1.0,600.0,29.0,34.0502,-118.257559453
262,1.0,0.0,210.0,401.0,195.0,1.0,210.0,55.0,34.0306,-118.263611221
263,1.0,0.0,440.0,403.0,162.0,1.0,330.0,27.0,34.0473,-118.256765778
264,1.0,0.0,210.0,101.0,174.0,1.0,600.0,57.0,34.0433,-118.250614801
265,1.0,0.0,442.0,404.0,162.0,1.0,330.0,24.0,34.048,-118.257857081
266,1.0,0.0,930.0,102.0,156.0,1.0,545.0,54.0,34.0428,-118.2463488
267,1.0,0.0,740.0,122.0,143.0,1.0,1010.0,33.0,34.0488,-118.248531405
268,1.0,0.0,220.0,102.0,156.0,1.0,1405.0,55.0,34.0446,-118.245257498
269,1.0,0.0,341.0,503.0,171.0,1.0,1030.0,21.0,34.0454,-118.265793826
270,1.0,0.0,350.0,203.0,138.0,1.0,700.0,28.0,34.0503,-118.243570939
271,1.0,0.0,624.0,102.0,171.0,1.0,1015.0,29.0,34.045,-118.264107267
272,1.0,0.0,624.0,102.0,171.0,1.0,1015.0,29.0,34.045,-118.264107267
273,1.0,0.0,330.0,108.0,143.0,1.0,801.0,33.0,34.0492,-118.249027452
